stock_id,stock_name,event_name,date
,京城樂富R1,除權息,2022/09/05
1315,達新,除權息,2022/09/05
1443,立益物流,增資股上市,2022/09/05
1521,大億,法人說明會,2022/09/05
1533,車王電,除權息,2022/09/05
1784,訊聯,除權息,2022/09/05
2106,建大,除權息,2022/09/05
2474,可成,除權息,2022/09/05
2838,聯邦銀,增資股上市,2022/09/05
3484,崧騰,除權息,2022/09/05
4160,創源,除權息,2022/09/05
4540,全球傳動,除權息,2022/09/05
4807,日成-KY,除權息,2022/09/05
5328,華容,除權息,2022/09/05
6236,康呈,增資股上市,2022/09/05
6548,長科*,增資股上市,2022/09/05
6641,基士德-KY,法人說明會,2022/09/05
6768,志強-KY,法人說明會,2022/09/05
7402,邑錡,除權息,2022/09/05
8093,保銳,減資後新股掛牌,2022/09/05
8171,天宇,增資股上市,2022/09/05
8916,光隆,法人說明會,2022/09/05
1342,八貫,增資股上市,2022/09/06
1609,大亞,法人說明會,2022/09/06
1732,毛寶,除權息,2022/09/06
2243,宏旭-KY,法人說明會,2022/09/06
2364,倫飛,除權息,2022/09/06
2468,華經,除權息,2022/09/06
2603,長榮,減資後新股掛牌,2022/09/06
2637,慧洋-KY,法人說明會,2022/09/06
2641,正德,增資股上市,2022/09/06
2706,第一店,除權息,2022/09/06
2752,豆府,除權息,2022/09/06
2845,遠東銀,除權息,2022/09/06
3025,星通,除權息,2022/09/06
3056,總太,增資股上市,2022/09/06
3162,精確,法人說明會,2022/09/06
3303,岱稜,法人說明會,2022/09/06
3622,洋華,除權息,2022/09/06
3705,永信,法人說明會,2022/09/06
5284,jpp-KY,法人說明會,2022/09/06
6139,亞翔,除權息,2022/09/06
6552,易華電,除權息,2022/09/06
9927,泰銘,除權息,2022/09/06
1529,樂事綠能,除權息,2022/09/07
1590,亞德客-KY,除權息,2022/09/07
1598,岱宇,法人說明會,2022/09/07
1736,喬山,除權息,2022/09/07
2301,光寶科,法人說明會,2022/09/07
2308,台達電,法人說明會,2022/09/07
2609,陽明,法人說明會,2022/09/07
2924,東凌-KY,股東臨時會,2022/09/07
3372,典範,除權息,2022/09/07
3530,晶相光,法人說明會,2022/09/07
3665,貿聯-KY,法人說明會,2022/09/07
3675,德微,除權息,2022/09/07
4557,永新-KY,法人說明會,2022/09/07
4735,豪展,除權息,2022/09/07
4931,新盛力,股東臨時會,2022/09/07
5512,力麒,除權息,2022/09/07
5546,永固-KY,法人說明會,2022/09/07
5903,全家,法人說明會,2022/09/07
6196,帆宣,法人說明會,2022/09/07
6203,海韻電,除權息,2022/09/07
6582,申豐,法人說明會,2022/09/07
6671,三能-KY,法人說明會,2022/09/07
8107,大億金茂,除權息,2022/09/07
8147,正淩,除權息,2022/09/07
8467,波力-KY,法人說明會,2022/09/07
8908,欣雄,除權息,2022/09/07
9904,寶成,法人說明會,2022/09/07
9906,欣巴巴,除權息,2022/09/07
9910,豐泰,法人說明會,2022/09/07
9951,皇田,除權息,2022/09/07
1721,三晃,法人說明會,2022/09/08
2012,春雨,除權息,2022/09/08
2461,光群雷,除權息,2022/09/08
2729,瓦城,法人說明會,2022/09/08
2834,臺企銀,法人說明會,2022/09/08
2905,三商,除權息,2022/09/08
2915,潤泰全,除權息,2022/09/08
3346,麗清,除權息,2022/09/08
3430,奇鈦科,新股掛牌,2022/09/08
4123,晟德,除權息,2022/09/08
4556,旭然,除權息,2022/09/08
4935,茂林-KY,法人說明會,2022/09/08
4953,緯軟,增資股上市,2022/09/08
6235,華孚,除權息,2022/09/08
6508,惠光,增資股上市,2022/09/08
8349,恒耀,除權息,2022/09/08
1416,廣豐,法人說明會,2022/09/12
1532,勤美,法人說明會,2022/09/12
2375,凱美,減資後新股掛牌,2022/09/12
2379,瑞昱,除權息,2022/09/12
2442,新美齊,法人說明會,2022/09/12
2753,八方雲集,增資股上市,2022/09/12
2923,鼎固-KY,除權息,2022/09/12
3056,總太,增資股上市,2022/09/12
4438,廣越,增資股上市,2022/09/12
6163,華電網,除權息,2022/09/12
6485,點序,除權息,2022/09/12
8444,綠河-KY,除權息,2022/09/12
1591,駿吉-KY,除權息,2022/09/13
1593,祺驊,除權息,2022/09/13
1604,聲寶,法人說明會,2022/09/13
2006,東和鋼鐵,法人說明會,2022/09/13
2028,威致,增資股上市,2022/09/13
2511,太子,法人說明會,2022/09/13
2530,華建,法人說明會,2022/09/13
2832,台產,法人說明會,2022/09/13
3322,建舜電,除權息,2022/09/13
4171,瑞基,除權息,2022/09/13
4571,鈞興-KY,法人說明會,2022/09/13
4931,新盛力,法人說明會,2022/09/13
6111,大宇資,除權息,2022/09/13
