date,draw_id,draw_results,special_number,draw_time,number_remains,guess_size,guess_odd
20220130,111006013,"['03', '07', '08', '09', '19', '23', '28', '30', '31', '36', '41', '53', '56', '59', '60', '65', '66', '68', '74', '76']",31,17:30,3,,和
20220130,111006012,"['04', '09', '13', '15', '24', '31', '35', '40', '43', '45', '47', '48', '51', '54', '57', '63', '65', '73', '77', '79']",13,17:25,2,,單
20220130,111006011,"['03', '05', '09', '10', '14', '19', '21', '26', '27', '28', '33', '40', '41', '53', '56', '59', '64', '68', '69', '72']",64,17:20,4,,小單
20220130,111006010,"['02', '07', '08', '11', '16', '20', '25', '28', '31', '33', '39', '44', '46', '51', '53', '56', '65', '70', '75', '76']",20,17:15,5,,和
20220130,111006009,"['05', '06', '12', '18', '26', '28', '31', '32', '33', '34', '36', '44', '52', '53', '61', '67', '72', '73', '74', '79']",72,17:10,7,,小雙
20220130,111006008,"['05', '12', '13', '14', '18', '19', '24', '26', '28', '31', '37', '41', '45', '47', '54', '56', '63', '65', '72', '75']",19,17:05,7,,小單
20220130,111006007,"['05', '13', '14', '18', '21', '23', '26', '27', '33', '34', '41', '49', '50', '58', '61', '63', '67', '69', '71', '76']",76,17:00,4,,單
20220130,111006006,"['01', '04', '08', '09', '13', '15', '19', '21', '24', '28', '30', '39', '44', '56', '57', '60', '67', '69', '70', '77']",28,16:55,3,,小單
20220130,111006005,"['05', '09', '10', '16', '30', '33', '35', '37', '38', '40', '41', '43', '45', '46', '55', '56', '65', '68', '73', '78']",09,16:50,4,,小單
20220130,111006004,"['01', '02', '09', '19', '20', '24', '26', '35', '37', '48', '52', '56', '59', '61', '63', '70', '74', '75', '76', '79']",48,16:45,5,,和
20220130,111006003,"['01', '05', '06', '12', '13', '16', '26', '27', '36', '39', '49', '56', '58', '59', '60', '65', '67', '73', '78', '79']",73,16:40,7,,小單
20220130,111006002,"['01', '06', '14', '17', '21', '26', '27', '35', '39', '41', '51', '52', '53', '62', '65', '67', '68', '71', '77', '80']",35,16:35,4,,單
20220130,111006001,"['06', '09', '12', '14', '18', '21', '22', '29', '34', '42', '50', '52', '54', '56', '60', '63', '64', '66', '69', '70']",69,16:30,3,,雙
20220130,111006000,"['04', '05', '07', '08', '10', '12', '19', '23', '24', '31', '32', '33', '44', '45', '51', '53', '55', '59', '63', '70']",08,16:25,4,,小單
20220130,111005999,"['01', '03', '06', '08', '09', '27', '28', '30', '31', '32', '36', '45', '48', '57', '60', '66', '68', '75', '76', '80']",45,16:20,4,,小雙
20220130,111005998,"['11', '23', '24', '25', '34', '36', '37', '41', '50', '53', '56', '58', '60', '63', '65', '68', '72', '74', '79', '80']",23,16:15,6,大,小雙
20220130,111005997,"['05', '13', '17', '18', '20', '25', '27', '29', '30', '31', '40', '42', '57', '59', '60', '68', '72', '74', '75', '80']",13,16:10,2,,和
20220130,111005996,"['02', '03', '15', '22', '24', '26', '32', '37', '46', '51', '52', '56', '61', '65', '67', '68', '69', '71', '72', '73']",65,16:05,3,,和
20220130,111005995,"['03', '06', '08', '12', '13', '14', '16', '21', '24', '29', '31', '36', '37', '42', '44', '59', '66', '70', '74', '75']",59,16:00,5,小,小雙
20220130,111005994,"['14', '16', '17', '20', '22', '32', '38', '41', '44', '49', '57', '59', '60', '62', '63', '66', '68', '71', '76', '80']",20,15:55,2,大,雙
20220130,111005993,"['04', '10', '13', '15', '18', '19', '28', '29', '33', '35', '38', '45', '47', '53', '55', '57', '65', '73', '74', '78']",35,15:50,8,,單
20220130,111005992,"['03', '04', '05', '07', '09', '12', '13', '19', '20', '23', '25', '33', '36', '37', '45', '55', '61', '74', '78', '79']",74,15:45,7,小,單
20220130,111005991,"['17', '20', '25', '27', '28', '29', '36', '40', '44', '45', '48', '51', '54', '55', '60', '61', '69', '70', '71', '74']",45,15:40,4,,和
20220130,111005990,"['02', '04', '06', '08', '10', '12', '13', '18', '20', '22', '28', '33', '34', '36', '38', '39', '45', '56', '58', '76']",33,15:35,5,小,雙
20220130,111005989,"['02', '03', '06', '07', '09', '10', '21', '31', '35', '39', '40', '42', '46', '50', '62', '64', '65', '68', '76', '78']",09,15:30,5,,小雙
20220130,111005988,"['03', '08', '13', '26', '27', '31', '37', '38', '43', '45', '55', '59', '60', '63', '65', '68', '70', '74', '78', '79']",08,15:25,3,,小單
20220130,111005987,"['11', '14', '15', '16', '17', '20', '21', '22', '26', '27', '39', '41', '42', '48', '53', '54', '56', '62', '68', '80']",15,15:20,2,,小雙
20220130,111005986,"['05', '17', '18', '25', '29', '33', '34', '37', '51', '52', '55', '56', '61', '63', '66', '67', '69', '74', '75', '79']",56,15:15,7,,單
20220130,111005985,"['01', '05', '09', '10', '12', '16', '19', '22', '23', '25', '26', '28', '29', '32', '35', '37', '51', '55', '79', '80']",37,15:10,6,小,小單
20220130,111005984,"['01', '02', '04', '06', '07', '08', '09', '16', '17', '18', '25', '36', '40', '51', '52', '53', '58', '68', '73', '80']",02,15:05,2,小,小雙
20220130,111005983,"['05', '09', '10', '12', '18', '27', '28', '31', '33', '34', '37', '42', '43', '45', '50', '67', '71', '75', '77', '78']",42,15:00,3,,小單
20220130,111005982,"['03', '04', '11', '14', '17', '18', '23', '24', '26', '28', '32', '36', '50', '52', '55', '58', '69', '72', '73', '74']",17,14:55,5,,雙
20220130,111005981,"['03', '06', '08', '10', '12', '14', '16', '22', '24', '26', '29', '33', '40', '42', '47', '48', '54', '55', '75', '80']",14,14:50,4,小,雙
20220130,111005980,"['01', '05', '11', '12', '15', '21', '24', '27', '28', '33', '42', '49', '50', '51', '59', '64', '68', '73', '74', '76']",15,14:45,6,,小單
20220130,111005979,"['08', '15', '21', '22', '26', '34', '36', '46', '47', '51', '52', '59', '63', '66', '68', '70', '72', '74', '75', '77']",21,14:40,7,大,小雙
20220130,111005978,"['08', '10', '11', '14', '17', '18', '21', '30', '31', '44', '45', '47', '49', '51', '54', '65', '66', '70', '71', '77']",54,14:35,5,,小單
20220130,111005977,"['09', '13', '15', '17', '26', '30', '34', '36', '39', '47', '51', '53', '55', '58', '62', '68', '69', '70', '76', '79']",68,14:30,3,,小單
20220130,111005976,"['01', '06', '14', '15', '19', '20', '21', '23', '25', '26', '33', '35', '38', '44', '46', '55', '57', '60', '65', '72']",57,14:25,4,小,小單
20220130,111005975,"['07', '12', '13', '19', '20', '27', '29', '30', '36', '37', '39', '40', '42', '47', '54', '57', '65', '68', '77', '80']",19,14:20,6,,小單
20220130,111005974,"['03', '10', '11', '13', '17', '20', '32', '39', '41', '42', '46', '48', '51', '53', '58', '65', '68', '71', '75', '79']",71,14:15,6,,小單
