date,draw_id,draw_results,special_number,guess_size,guess_odd
20220129,111005887,02 04 08 13 17 18 19 26 30 32 37 47 49 54 64 65 67 69 76 77,2,－,和
20220129,111005886,01 02 03 05 11 13 21 28 29 30 33 40 41 44 49 52 56 60 65 69,29,－,小單
20220129,111005885,01 02 05 09 20 21 31 33 34 38 40 52 56 57 59 60 61 66 72 75,56,－,和
20220129,111005884,01 04 08 09 18 22 27 28 30 33 34 40 41 43 51 59 67 72 74 77,40,－,和
20220129,111005883,01 05 06 07 10 17 21 26 27 30 35 39 41 46 52 61 67 71 73 80,67,－,單
20220129,111005882,04 11 27 28 29 31 34 35 36 43 45 47 50 58 62 68 70 73 74 78,73,－,小雙
20220129,111005881,03 13 15 16 21 25 26 29 31 35 38 46 54 55 56 57 67 69 76 80,54,－,小單
20220129,111005880,05 07 08 10 11 13 21 23 25 33 38 39 40 41 59 63 66 69 71 73,23,小,單
20220129,111005879,01 08 14 22 33 35 38 42 43 50 54 55 56 58 60 62 64 70 73 78,42,大,雙
20220129,111005878,01 02 13 25 28 29 44 46 49 51 52 60 61 62 64 65 67 68 78 79,13,大,和
20220129,111005877,07 10 12 15 16 22 25 28 29 32 38 42 43 45 46 49 58 70 72 78,72,－,雙
20220129,111005876,05 07 08 12 13 14 16 18 22 27 34 36 40 43 46 49 64 66 69 80,36,小,雙
20220129,111005875,01 06 13 15 19 21 25 31 32 34 40 61 64 67 68 74 76 78 79 80,80,－,和
20220129,111005874,01 02 12 13 20 27 30 32 34 36 38 42 46 51 60 65 69 72 73 78,73,－,雙
20220129,111005873,09 10 15 18 21 25 26 27 28 29 30 39 44 50 53 56 65 66 69 80,39,－,和
20220129,111005872,01 08 10 14 16 23 24 30 31 41 42 43 45 46 63 64 70 74 79 80,79,－,小雙
20220129,111005871,03 09 14 15 16 18 19 29 41 43 44 49 54 60 61 63 65 73 76 79,63,－,單
20220129,111005870,02 04 09 12 14 18 26 27 30 33 37 48 49 50 53 60 66 67 73 78,73,－,小雙
20220129,111005869,06 07 12 17 24 29 33 35 44 55 56 57 59 61 64 66 68 73 74 79,68,－,小單
20220129,111005868,07 12 13 16 17 27 28 31 32 37 38 42 44 48 50 52 56 61 67 70,27,－,小雙
20220129,111005867,01 04 05 07 10 12 16 20 23 30 40 42 43 51 52 62 68 74 76 78,62,－,雙
20220129,111005866,08 09 13 16 17 19 25 26 27 30 31 37 45 52 57 58 61 62 63 75,45,－,單
20220129,111005865,12 15 24 25 34 37 38 41 47 52 54 56 65 69 70 71 72 77 78 79,15,大,和
20220129,111005864,04 07 14 19 24 28 29 35 38 39 41 47 51 52 61 62 64 68 69 79,69,－,小單
20220129,111005863,04 06 08 12 14 15 18 23 28 30 39 42 47 52 55 59 60 62 65 76,60,－,雙
20220129,111005862,02 03 04 10 15 22 27 29 41 43 44 45 48 50 57 61 65 70 75 77,4,－,小單
20220129,111005861,02 05 13 22 31 35 37 44 45 46 47 52 55 66 67 69 72 74 75 80,46,大,小單
20220129,111005860,05 09 12 14 21 24 27 28 36 40 41 42 46 48 50 55 58 59 74 80,48,－,雙
20220129,111005859,01 04 07 13 19 20 21 24 28 32 33 37 51 52 64 70 72 73 77 80,72,－,和
20220129,111005858,05 15 16 22 28 31 33 34 36 39 40 41 48 55 61 63 73 74 75 78,75,－,小單
20220129,111005857,01 03 04 06 07 10 11 16 24 29 30 33 35 40 45 47 55 56 68 75,7,小,小單
20220129,111005856,03 04 05 06 08 10 22 23 39 41 42 45 46 52 60 64 65 67 73 77,5,－,和
20220129,111005855,02 07 12 13 17 25 29 43 45 47 56 58 61 62 63 69 72 75 76 77,62,大,單
20220129,111005854,12 14 20 22 26 27 35 38 40 47 48 50 52 53 57 58 59 66 68 78,12,－,雙
20220129,111005853,11 16 20 21 23 35 37 38 43 46 47 48 50 53 55 61 68 74 78 79,23,－,小單
20220129,111005852,02 05 07 16 27 45 46 48 50 56 57 60 67 69 70 71 75 76 78 80,7,大,小雙
20220129,111005851,01 03 11 13 18 19 26 29 32 36 45 47 48 50 51 66 70 73 74 80,66,－,和
20220129,111005850,08 21 28 34 40 43 46 48 55 59 60 62 65 66 70 71 74 75 76 78,34,大,雙
20220129,111005849,02 07 10 15 17 18 20 24 30 33 38 46 48 51 53 57 69 73 79 80,57,－,和
20220129,111005848,01 03 04 13 15 16 18 23 24 28 34 37 41 46 47 61 63 66 70 80,41,－,和
20220129,111005847,04 19 24 30 32 33 37 40 43 44 49 50 55 58 63 65 66 67 68 70,4,－,小雙
20220129,111005846,02 03 13 15 23 26 27 30 32 38 49 50 51 56 60 62 66 72 75 78,50,－,小雙
20220129,111005845,07 08 10 13 18 21 30 31 34 35 43 45 47 48 53 58 60 69 70 72,58,－,和
20220129,111005844,06 07 08 09 11 13 16 23 31 34 38 51 53 55 56 57 61 71 77 80,57,－,單
20220129,111005843,01 07 11 14 16 18 22 24 28 29 36 37 44 57 59 62 67 75 77 79,36,－,小單
20220129,111005842,04 06 11 12 21 26 28 29 30 35 44 45 46 47 54 56 61 73 74 76,54,－,小雙
20220129,111005841,01 05 06 17 18 29 31 35 36 45 47 48 50 55 58 61 66 75 76 78,6,－,小單
20220129,111005840,08 12 14 26 28 29 33 34 39 42 45 58 65 67 68 69 70 71 75 76,42,－,小雙
20220129,111005839,01 02 09 13 15 19 20 23 40 41 45 50 52 54 58 74 75 77 78 79,77,－,小單
20220129,111005838,02 07 09 18 19 20 23 25 26 31 39 44 54 56 58 60 63 65 69 79,7,－,小單
20220129,111005837,02 03 07 08 16 18 19 20 22 26 29 32 37 41 46 48 62 65 74 77,22,小,小雙
20220129,111005836,03 05 08 10 13 20 25 29 30 38 43 49 53 57 65 68 69 70 72 80,30,－,小單
20220129,111005835,01 02 03 04 10 12 13 19 20 26 28 31 36 37 39 51 67 71 78 79,31,小,小單
20220129,111005834,01 02 09 10 12 14 16 17 23 26 30 32 34 41 43 44 46 48 58 65,48,小,雙
20220129,111005833,03 04 11 12 20 23 26 29 32 33 46 47 52 54 60 63 64 67 76 79,54,－,小雙
20220129,111005832,02 06 10 12 16 20 21 33 37 47 48 49 50 60 62 64 66 70 72 80,6,－,雙
20220129,111005831,01 03 08 11 17 20 21 26 28 30 38 40 44 49 50 51 52 65 69 71,38,－,和
20220129,111005830,09 10 12 14 22 25 30 34 35 37 39 42 47 50 55 62 67 70 75 79,42,－,和
20220129,111005829,06 08 11 17 21 22 24 41 47 49 51 52 59 62 63 67 73 76 78 80,6,大,小單
20220129,111005828,01 11 17 19 22 25 27 33 35 36 37 38 39 40 47 51 60 69 70 80,70,小,單
20220129,111005827,02 04 05 08 09 16 20 21 24 29 35 39 40 44 47 53 56 57 73 75,2,小,小單
20220129,111005826,01 12 13 14 17 20 31 32 33 35 37 39 43 45 55 56 67 73 76 77,14,－,單
20220129,111005825,11 21 26 28 31 34 37 39 43 44 50 53 54 57 58 60 61 63 66 74,54,－,和
20220129,111005824,01 08 16 36 39 41 42 43 45 47 52 55 59 63 65 69 70 72 77 80,16,大,小單
20220129,111005823,01 03 07 13 15 19 30 40 47 48 51 52 53 55 57 61 62 66 70 73,53,－,單
20220129,111005822,03 12 14 19 21 22 26 27 28 30 32 37 39 40 42 44 46 51 58 61,61,小,小雙
20220129,111005821,13 17 19 25 30 32 36 42 43 45 47 51 53 55 59 62 63 66 71 75,59,大,單
20220129,111005820,12 13 20 21 22 23 26 29 35 36 38 41 50 51 52 57 62 67 69 80,57,－,和
20220129,111005819,05 09 10 12 16 21 23 24 25 40 51 65 66 68 69 70 71 74 75 77,9,－,小單
20220129,111005818,02 11 16 21 26 28 29 32 33 35 36 41 48 50 52 63 68 74 75 77,29,－,小雙
20220129,111005817,02 06 08 10 14 20 33 35 40 41 42 49 52 55 56 58 66 68 73 75,42,－,雙
20220129,111005816,07 11 12 13 14 15 17 22 27 37 39 40 41 44 47 49 53 55 57 76,76,－,單
20220129,111005815,08 10 16 17 29 33 38 42 44 48 52 53 59 62 63 64 71 72 74 77,59,大,小雙
20220129,111005814,01 09 10 13 15 18 20 21 24 32 36 38 44 48 50 53 67 68 72 76,48,－,雙
20220129,111005813,01 02 10 11 18 22 25 31 32 34 39 41 44 46 53 58 67 68 69 76,68,－,小雙
20220129,111005812,04 09 10 16 19 20 25 29 33 37 39 41 42 48 49 53 57 62 69 79,37,－,單
20220129,111005811,04 06 12 13 17 28 29 32 38 42 46 50 61 62 65 67 70 75 78 79,42,－,小雙
20220129,111005810,01 06 13 14 15 16 20 21 22 26 31 37 38 41 45 52 61 64 66 70,26,小,小雙
20220129,111005809,13 14 19 21 26 30 34 35 36 37 44 48 52 54 55 57 61 63 68 77,30,－,和
20220129,111005808,01 05 09 10 12 13 21 26 30 34 36 49 51 55 59 62 67 73 77 78,36,－,小單
20220129,111005807,02 07 08 10 13 15 20 24 29 37 41 44 45 46 49 50 53 56 66 73,13,－,和
20220129,111005806,02 09 11 16 18 20 21 35 37 38 48 49 58 61 65 68 72 73 75 80,18,－,和
20220129,111005805,05 07 32 34 35 44 47 49 50 52 54 57 58 59 61 67 73 75 77 80,49,大,小單
20220129,111005804,03 07 14 16 21 29 36 45 47 50 58 59 63 65 67 68 69 77 78 79,16,大,單
20220129,111005803,03 05 10 12 29 33 38 42 48 50 52 53 54 57 58 62 64 65 68 77,54,大,小雙
20220129,111005802,10 11 12 18 20 29 30 31 40 46 51 54 55 58 64 65 66 73 74 75,65,－,小雙
20220129,111005801,02 04 11 12 14 22 29 39 42 43 47 48 50 55 57 60 66 73 77 80,80,－,小雙
20220129,111005800,02 05 14 15 17 20 21 27 33 34 39 44 48 50 51 64 67 69 72 79,39,－,小單
20220129,111005799,01 04 10 12 14 16 19 27 30 31 42 45 52 53 56 66 68 73 77 80,52,－,小雙
20220129,111005798,10 20 23 24 25 32 33 34 36 41 43 47 57 58 59 67 70 71 77 78,71,－,小單
20220129,111005797,06 07 08 16 31 34 36 38 39 40 43 47 49 50 52 56 60 68 69 74,6,－,雙
20220129,111005796,09 11 12 15 20 21 22 23 24 43 47 54 61 63 64 65 70 77 78 79,79,－,小單
20220129,111005795,01 05 11 17 18 20 23 26 27 31 43 49 50 57 65 67 68 73 74 80,73,－,單
20220129,111005794,02 03 05 09 10 12 16 23 32 37 41 42 46 57 59 65 70 73 74 75,9,－,小單
20220129,111005793,03 05 08 15 17 19 24 25 31 37 41 44 55 57 61 66 68 74 75 77,61,－,單
20220129,111005792,02 16 24 28 30 37 38 39 40 49 51 52 60 63 64 66 72 77 78 80,2,－,雙
20220129,111005791,01 02 08 10 14 18 19 20 28 30 34 37 38 48 49 64 68 75 76 77,14,小,雙
